"Product
ID",Description,Supplier,"Quantity Per
Unit","Unit
Price"
68,Scottish Longbreads,"Specialty Biscuits, Ltd.","10 boxes x 8
pieces",$12.50
42,"Singaporean Hokkien
Fried Mee",Leka Trading,"32 - 1 kg
pkgs.",$14.00
20,Sir Rodney's Marmalade,"Specialty Biscuits, Ltd.",30 gift boxes,$81.00
21,Sir Rodney's Scones,"Specialty Biscuits, Ltd.","24 pkgs. x 4
pieces",$10.00
61,Sirop d'érable,Forêts d'érables,"24 - 500 ml
bottles",$28.50
46,Spegesild,Lyngbysild,"4 - 450 g
glasses",$12.00
35,Steeleye Stout,Bigfoot Breweries,"24 - 12 oz
bottles",$18.00
62,Tarte au sucre,Forêts d'érables,48 pies,$49.30
19,"Teatime Chocolate
Biscuits","Specialty Biscuits, Ltd.","10 boxes x 12
pieces",$9.20
29,Thüringer Rostbratwurst,"Plutzer
Lebensmittelgroßmärkte AG","50 bags x 30
sausgs.",$123.79
14,Tofu,Mayumi's,"40 - 100 g
pkgs.",$23.25
54,Tourtière,Ma Maison,16 pies,$7.45
23,Tunnbröd,PB Knäckebröd AB,"12 - 250 g
pkgs.",$9.00
7,"Uncle Bob's Organic
Dried Pears",Grandma Kelly's Homestead,12 - 1 lb pkgs.,$30.00
50,Valkoinen suklaa,Karkki Oy,"12 - 100 g
bars",$16.25
