"Product
ID",Description,Supplier,"Quantity Per
Unit","Unit
Price"
41,"Jack's New England
Clam Chowder","New England Seafood
Cannery","12 - 12 oz
cans",$9.65
13,Konbu,Mayumi's,2 kg box,$6.00
76,Lakkalikööri,Karkki Oy,500 ml,$18.00
67,"Laughing Lumberjack
Lager",Bigfoot Breweries,"24 - 12 oz
bottles",$14.00
74,Longlife Tofu,Tokyo Traders,5 kg pkg.,$10.00
65,"Louisiana Fiery Hot
Pepper Sauce",New Orleans Cajun Delights,"32 - 8 oz
bottles",$21.05
66,"Louisiana Hot Spiced
Okra",New Orleans Cajun Delights,24 - 8 oz jars,$17.00
51,Manjimup Dried Apples,"G'day, Mate","50 - 300 g
pkgs.",$53.00
32,Mascarpone Fabioli,Formaggi Fortini s.r.l.,"24 - 200 g
pkgs.",$32.00
49,Maxilaku,Karkki Oy,"24 - 50 g
pkgs.",$20.00
9,Mishi Kobe Niku,Tokyo Traders,"18 - 500 g
pkgs.",$97.00
72,Mozzarella di Giovanni,Formaggi Fortini s.r.l.,"24 - 200 g
pkgs.",$34.80
30,Nord-Ost Matjeshering,"Nord-Ost-Fisch
Handelsgesellschaft mbH","10 - 200 g
glasses",$25.89
8,"Northwoods Cranberry
Sauce",Grandma Kelly's Homestead,12 - 12 oz jars,$40.00
25,"NuNuCa Nuß-Nougat-
Creme","Heli Süßwaren GmbH & Co.
KG","20 - 450 g
glasses",$14.00
