"Product
ID",Description,Supplier,"Quantity Per
Unit","Unit
Price"
52,Filo Mix,"G'day, Mate","16 - 2 kg
boxes",$7.00
71,Fløtemysost,Norske Meierier,"10 - 500 g
pkgs.",$21.50
33,Geitost,Norske Meierier,500 g,$2.50
15,Genen Shouyu,Mayumi's,"24 - 250 ml
bottles",$15.50
56,Gnocchi di nonna Alice,Pasta Buttini s.r.l.,"24 - 250 g
pkgs.",$38.00
31,Gorgonzola Telino,Formaggi Fortini s.r.l.,"12 - 100 g
pkgs",$12.50
6,"Grandma's Boysenberry
Spread",Grandma Kelly's Homestead,12 - 8 oz jars,$25.00
37,Gravad lax,Svensk Sjöföda AB,"12 - 500 g
pkgs.",$26.00
24,Guaraná Fantástica,Refrescos Americanas LTDA,"12 - 355 ml
cans",$4.50
69,Gudbrandsdalsost,Norske Meierier,10 kg pkg.,$36.00
44,Gula Malacca,Leka Trading,20 - 2 kg bags,$19.45
26,Gumbär Gummibärchen,"Heli Süßwaren GmbH & Co.
KG","100 - 250 g
bags",$31.23
22,Gustaf's Knäckebröd,PB Knäckebröd AB,"24 - 500 g
pkgs.",$21.00
10,Ikura,Tokyo Traders,"12 - 200 ml
jars",$31.00
36,Inlagd Sill,Svensk Sjöföda AB,24 - 250 g jars,$19.00
43,Ipoh Coffee,Leka Trading,16 - 500 g tins,$46.00
