"Product
ID",Description,Supplier,"Quantity Per
Unit","Unit
Price"
17,Alice Mutton,"Pavlova, Ltd.",20 - 1 kg tins,$39.00
3,Aniseed Syrup,Exotic Liquids,"12 - 550 ml
bottles",$10.00
40,Boston Crab Meat,"New England Seafood
Cannery",24 - 4 oz tins,$18.40
60,Camembert Pierrot,Gai pâturage,"15 - 300 g
rounds",$34.00
18,Carnarvon Tigers,"Pavlova, Ltd.",16 kg pkg.,$62.50
1,Chai,Exotic Liquids,"10 boxes x 20
bags",$18.00
2,Chang,Exotic Liquids,"24 - 12 oz
bottles",$19.00
39,Chartreuse verte,Aux joyeux ecclésiastiques,"750 cc per
bottle",$18.00
4,"Chef Anton's Cajun
Seasoning",New Orleans Cajun Delights,48 - 6 oz jars,$22.00
5,"Chef Anton's Gumbo
Mix",New Orleans Cajun Delights,36 boxes,$21.35
48,Chocolade,Zaanse Snoepfabriek,10 pkgs.,$12.75
38,Côte de Blaye,Aux joyeux ecclésiastiques,"12 - 75 cl
bottles",$263.50
58,"Escargots de
Bourgogne",Escargots Nouveaux,24 pieces,$13.25
